filename,positive_score,negative_score,polarity_score,subjectivity_score
blackassign0001.txt,33,6,0.6923076745562136,0.06866197171010216
blackassign0002.txt,58,31,0.30337078310819343,0.11097256844018383
blackassign0003.txt,38,24,0.22580644797086374,0.09856915723597909
blackassign0004.txt,37,75,-0.3392857112563776,0.18093699486116802
blackassign0005.txt,21,8,0.4482758466111777,0.07733333312711112
blackassign0006.txt,86,26,0.5357142809311225,0.10303587847006818
blackassign0007.txt,31,71,-0.39215685890042296,0.14488636343055913
blackassign0008.txt,29,9,0.5263157756232691,0.07739307519879211
blackassign0009.txt,38,52,-0.15555555382716052,0.14975041572420897
blackassign0010.txt,136,180,-0.13924050588847942,0.17792792782774328
blackassign0011.txt,60,20,0.4999999937500001,0.09744214360847486
blackassign0012.txt,78,24,0.529411759515571,0.1188811187425628
blackassign0013.txt,38,13,0.49019606881968497,0.17346938716507013
blackassign0014.txt,21,27,-0.1249999973958334,0.08664259912158376
blackassign0015.txt,35,27,0.12903225598335072,0.09422492386895909
blackassign0016.txt,35,27,0.12903225598335072,0.09422492386895909
blackassign0017.txt,48,12,0.5999999900000001,0.09708737848367738
blackassign0018.txt,33,10,0.5348837084910766,0.07491289185555246
blackassign0019.txt,61,6,0.8208955101358879,0.07772621800727816
blackassign0020.txt,8,0,0.9999998750000157,0.037209302152514875
blackassign0021.txt,23,47,-0.34285713795918377,0.13084112125076425
blackassign0022.txt,13,10,0.1304347769376184,0.12568305942249694
blackassign0023.txt,28,16,0.27272726652892576,0.06461086627810446
blackassign0024.txt,23,3,0.7692307396449716,0.08552631550813712
blackassign0025.txt,20,11,0.29032257127991706,0.06078431360630527
blackassign0026.txt,23,14,0.24324323666910172,0.0750507097869154
blackassign0027.txt,24,26,-0.03999999920000002,0.08460236872317704
blackassign0028.txt,35,26,0.14754098118785278,0.10834813479867117
blackassign0029.txt,66,34,0.3199999968,0.0970873785465171
blackassign0030.txt,60,37,0.23711339961738764,0.15695792854861176
blackassign0031.txt,66,36,0.2941176441753172,0.11630558709657288
blackassign0032.txt,70,28,0.4285714241982508,0.13517241360665874
blackassign0033.txt,61,26,0.402298845950588,0.10357142844812925
blackassign0034.txt,46,24,0.31428570979591847,0.11844331621244786
blackassign0035.txt,27,12,0.384615374753452,0.10833333303240741
blackassign0037.txt,37,13,0.47999999040000024,0.1424501420443016
blackassign0038.txt,67,41,0.24074073851165984,0.10693069296343496
blackassign0039.txt,50,69,-0.15966386420450535,0.11655239949407209
blackassign0040.txt,36,22,0.24137930618311543,0.09369951519596201
blackassign0041.txt,31,29,0.03333333277777779,0.09389671346808026
